Name_and_model,Model_type,In_Game_Price,car_source,stock_specs,Stock_Rating,Drive_Type,speed,handling,acceleration,launch,braking,Offroad,Top_Speed,0-60_Mph,0-100_Mph,g-force,Horse_Power,Weight_lbs
2001 Acura Integra Type R,RETRO HOT HATCH,25000.0,Autoshow,C,596.0,FWD,5.6,5.1,3.9,3.1,3.4,5.1,155.5,6.2,14.7,0.9,195,2639.0
2002 Acura RSX Type S,RETRO HOT HATCH,25000.0,Autoshow,C,585.0,FWD,5.6,5.1,3.9,3.0,3.5,5.3,,4.1,,,200,2820.0
2017 Acura NSX,MODERN SUPERCARS,170000.0,Autoshow,S1,831.0,AWD,7.0,7.0,9.2,10.0,7.1,4.7,,4.1,,,573,3803.0
1973 Alpine A110 1600s,CLASSIC RALLY,98000.0,Autoshow,C,550.0,RWD,5.0,4.4,4.1,3.1,3.0,5.3,138.0,7.0,20.6,0.84,123,1576.0
2017 Alpine A110,MODERN SPORTS CARS,67500.0,Wheelspin,B,694.0,RWD,6.0,6.4,5.4,5.7,4.2,4.2,,4.1,,,248,2432.0
2015 Alumi Craft Class 10 Race Car,UNLIMITED BUGGIES,300000.0,Autoshow,B,642.0,RWD,4.4,3.8,5.0,4.1,4.8,10.0,,4.1,,,196,2200.0
1973 AMC Gremlin X,CULT CARS,35000.0,Autoshow,D,403.0,RWD,4.0,3.9,3.4,3.4,2.3,5.2,112.0,9.6,25.1,0.78,150,2840.0
2554 AMG TRANSPORT DYNAMICS M12S Warthog CST,UNLIMITED OFFROAD,850000.0,Autoshow,A,719.0,AWD,4.2,4.1,8.6,10.0,6.7,10.0,116.9,3.5,9.2,0.96,720,5071.0
2018 Apollo Intensa Emozione,EXTREME TRACK TOYS,1500000.0,Autoshow,S2,963.0,RWD,7.4,10.0,7.7,8.4,10.0,3.9,204.5,2.6,5.0,1.73,780,2756.0
"2018 Apollo Intensa Emozione ""Welcome Pack""",EXTREME TRACK TOYS,1500000.0,Autoshow,S2,998.0,RWD,7.6,10.0,7.9,8.6,10.0,3.8,,4.1,,,930,2480.0
2013 Ariel Atom 500 V8,EXTREME TRACK TOYS,200000.0,Autoshow,S2,924.0,RWD,6.3,8.8,7.8,8.5,7.2,3.9,176.8,3.1,5.7,1.32,475,1433.0
2016 Ariel Nomad,UNLIMITED BUGGIES,93000.0,Autoshow,A,711.0,RWD,5.2,4.7,6.5,7.2,4.2,8.1,,4.1,,,236,1477.0
1964 Aston Martin DB5,RARE CLASSICS,800000.0,Autoshow,C,548.0,RWD,5.4,4.0,4.0,3.4,2.7,5.4,151.3,8.1,19.0,0.79,325,3230.0
2013 Aston Martin V12 Vantage S,SUPER GT,240000.0,Autoshow,A,796.0,RWD,7.8,6.2,5.4,5.7,6.4,4.4,,4.1,,,565,3671.0
2016 Aston Martin Vantage GT12,TRACK TOYS,400000.0,Accolade,S1,829.0,RWD,6.7,8.0,5.9,6.1,8.1,4.4,183.0,3.7,8.0,1.16,593,3450.0
2017 Aston Martin DB11,SUPER GT,300000.0,Autoshow,A,787.0,RWD,7.3,6.5,5.7,6.1,6.1,4.7,,4.1,,,608,4134.0
2017 Aston Martin Vulcan AMR Pro,EXTREME TRACK TOYS,2000000.0,Autoshow,S2,953.0,RWD,7.7,9.6,6.5,7.0,10.0,3.2,211.0,3.0,5.7,1.73,820,2998.0
2019 Aston Martin DBS Superleggera,SUPER GT,350000.0,Autoshow,S1,835.0,RWD,7.8,6.6,5.8,6.2,6.9,4.5,215.4,3.4,6.4,1.09,715,3966.0
